Timestamp,Discord Name (Example#9999) / Twitter Name (@Example1234),Nickname (Leave blank to remain anonymous),Where do you live / 居住地. ,Display Icon/Picture (.png),Fan Message (Maximum 300 characters),(Optional) Illustration Submission - .png or .psd files preferred,**Fill only if you submitted a commissioned work** Artist Name/TwitterID - Leave blank if you submitted your own work
7/10/2021 9:03:03,Naki#4065,Naki,Vietnam,,"Hi Lamy-chan! Happy 1 year anniversary!
Thank you for all of your hard work, i'm really grateful to become one of your Yukimin, you have brighten up a smile on me, it's really fun to watch you, you are amazing! Let's do our best and make alot of memories this year!
I love you~",,
7/10/2021 11:07:26,Bliss In The Abyss#9418 / @BlissfulAbyss27,BlissfulDarkness,Philippines,https://drive.google.com/open?id=1v3nkulR-SsjxZil4P50QTdXhQ7F2qvE5,"Hey Lamy-chan! It's been a whole new year of a journey since your debut in Hololive. It's been a blooming experience for me when I first discovered your streams and I really enjoyed it all throughout! Cheers to another year of fun and happiness to you! Happy 1st year anniversary Lamy!
(✿╹◡╹)ﾉ",,
7/10/2021 11:45:15,[-Sk4leHel2O-]#1908 / @Sk4leHel2O,[-Sk4leHel2O-] スケール • ヒーロー,Thailand,https://drive.google.com/open?id=1m5SDV5OOZHwOFNA2i8RrwmYp4jxBxW_R,Happy 1 Anniversary! I wish you another wonderful year! Kaigai-Yukimin forever!,,
7/10/2021 11:58:11,@AlterLatte21,アルターラッテ,Indonesia,https://drive.google.com/open?id=1EWwDDVJ-PHCF5gmyM0Ma1035Nopkjhd9,"Lamy-chan! Congratulations on your 1st year anniversary🎉
Ever since your debut, you always bringing smile and happiness to my life😊I'm really happy and proud to be part of Yukimin☃️
No matter what happen, I will always continue to support you
And I always love you forever and ever💕",,
7/10/2021 14:31:06,Kyunichi_#9175,Kyunichi,Philippines,,"ラミーの配信を見ていると、いつも心が落ち着きます。どんな配信でも、彼女はとても快適な雰囲気を醸し出しています。彼女の穏やかな性格は、あなたが彼女のもとに戻ってきて、彼女のそばにいたいと思わせるのです。金銭的な支援はできませんが、これからもラミーちゃんのツイートの翻訳を頑張ります。
",,
7/10/2021 14:50:36,Gessekai Goldener Adler,Gessekai Goldener Adler,United States of America,https://drive.google.com/open?id=1SBnKwJYOQ1GEuNAgUw8KLKpVL20e9YaL,ラミィちゃん、一周年おめでとうございます。 あなたが世界中の多くの人々の生活の中に入ってきてから、もう1年が過ぎています。デビューしてからたくさんのことが変わりましたね。あなたはこの1年で大きく成長しました。ファンの皆さんとの距離も縮まり、私たちも心からラミィちゃんを愛するようになりました。次の1年はどれだけ一緒に成長できるか楽しみです。,,
7/10/2021 16:00:49,Aloyss#1115 / @Aloyss__,Aloyss,Malaysia,,Hello Lamy chan! congrats on one-year anniversary! I am glad to be part of the yukimins to support you! My life couldn't be better without you! Lets keep do our best for the time! ラミイちゃん大好き!  <3,,
7/10/2021 16:53:40,BlessingSignal226#6975 / @FumoSignal,Signal226,Chile,,丸1年が経ちました...ラミィちゃんを愛しつづけた丸一年。たくさんの人の幸せとモチベーションの源になってくれてありがとう！人として成長したあなたを、私たちは最初から見守っていました。これからもラミィちゃんと一緒に多くの時間を過ごしていきます！ Happy 1 Year Anniversary!  LAMY LOVE!,https://drive.google.com/open?id=1jFbXiT5_37GgO6A7gDfeBxQveVJCNjjM,
7/10/2021 18:16:52,@HeyKDHR,Ly,Prefer not to say / 答えたくない,https://drive.google.com/open?id=1MzOtxNAMkaHXeg5O11p8qIRAzNGudAjO,"Lamy-chan! Congratulations on your 1st anniversary!
its really fun to watch Lamy's stream. ASMR, Asakatsu and banshaku streams are so relaxing. its fun to see Lamy enjoying MonHun and other games too.
Yukimins are here to support you always.
Stay safe, healthy and keep drinking Lamy-chan!",,
7/10/2021 18:17:50,@HeyKDHR,Ly,Prefer not to say / 答えたくない,https://drive.google.com/open?id=1HlJLBP4f9pGAjY3BFPPaI1qmF79L38iw,"Lamy-chan! Congratulations on your 1st anniversary!
its really fun to watch Lamy's stream. ASMR, Asakatsu and banshaku streams are so relaxing. its fun to see Lamy enjoying MonHun and other games too.
Yukimins are here to support you always.
Stay safe, healthy and keep drinking Lamy-chan!",,
7/10/2021 18:19:37,mochidango#9049 / @ykmn_mochimochi,mochi,Philippines,https://drive.google.com/open?id=1Wcjsyl8AL0V9GEMJPyAe0AvlxIW3lHSN,"Lamy! Congratulations on 1 year on being a Hololiver! Thank you for the fun streams you have done in the past year. The shy and reserved Lamy we knew is now the Alcoholic Lawnmower we all love. I adore you a lot and I will continue to support you forever. Kaigai-Yukimin めっちゃ めっちゃ love you, Lamy!! 💪",,
7/10/2021 18:21:48,Simphogear#1226 / @Dechappyy,Dechap,Australia,,Congratulations on your 1st anniversary! Although I only recently became a member I remember watching your debut last year. I'm glad to have been with you for this past year and am looking forward to the coming year! I'm proud to call myself a yukimin and a fan of you. Thank you for all that you do!,,
7/10/2021 18:29:13,@HeyKDHR,Ly,Philippines,https://drive.google.com/open?id=1JcJsGCsgYOv6WoDJqoMfDCizsPsWeqrn,"Lamy-chan! Congratulations on your 1st anniversary!
its really fun to watch Lamy's stream. ASMR, Asakatsu and banshaku streams are so relaxing. its fun to see Lamy enjoying MonHun and other games too.
Yukimins are here to support you always.
Stay safe, healthy and keep drinking Lamy-chan!",,
7/10/2021 19:19:02,kurapan#8997,kurapan五十嵐4世,Japan,https://drive.google.com/open?id=17rWLC9gQsZ2cbYMdaLCpPGR7BECjf4zm,"ラミィちゃん、一周年おめでとうございます！素敵な1年を一緒に過ごすことができてとても嬉しいです。冒険がまだまだ始まったばかりで、これからもラミィちゃんの夢が一つ一つ叶えられることをファンの1人として見守りたくて、陰ながら応援していきます。
いつもありがとう！これからもよろしくね！",,
7/10/2021 21:30:46,🧹Broom🧹#2052,Conchae Maris,Portugal,https://drive.google.com/open?id=10ES6GzO09BmqrLzmvtBk72ZKuz1GG13T,"Happy Debutversary to Gen 5's Mama!!! Your journey has been filled with kindness no doubt and you've met and made a lot of nice memories among your companions, keep going, good things come to those who wait!",,
7/10/2021 21:51:31,@stevenarkgain,StevenArkgain,Australia,,"Happy 1st Year Anniversary, Lamy!
It's already been a year... Time flies when you're having fun!
I've been watching you since debut and you've been my Oshi for a while now.
Thanks for all the fun times you've given us in the past year!
I'm looking forward to spending more time with you!
Love you💙",,
7/10/2021 22:06:13,M0M013#8205,Momo Berry,Canada,,ラミィちゃん、一周年おめでとうございます ! あなたがVtuberとしてデビューしてから1年が経ちましたが、あなたが入ってきたことで私の人生がどれだけ変わったか、言葉では言い表せません。ホロライブで自分の居場所を見つけて、雪花ラミィという素敵な人に出会えたことを本当に幸せに思います。毎日がとても楽しくて、雪民の仲間と一緒に過ごしています。この絆をずっと大切にしていきたいです。そんなわけで、ラミィちゃん、本当にありがとうございます ! これからも、楽しい時間を大切にしながら、全力で応援していきます。I LOVE YOU! ,https://drive.google.com/open?id=1fecNVxPSROqW2MXYkkglICyo4BR-CYR5,
7/10/2021 22:31:10,Pete⛄【雪民】#1511 /@PeteYukimin,Pete,Thailand,https://drive.google.com/open?id=1BkVWqPEuaLdVohRN59yb9-vMTxJSlIo0,"Congratulations on your anniversary Lamy-chan!🎉🎉🎉
I've been watching you since your debut after I met you my life is brighter and brighter every day your smile and your laugh always make me happy.
あなたの声がとても大好きです❤
これからもずっと応援し続けます！
ラミィちゃんだけ大好きだよ 💕
 (◍•ᴗ•◍)っ💙
",,
7/10/2021 22:42:23,Enota # 5514 / @ReLuLune,Lune,Thailand,https://drive.google.com/open?id=1vRva4crEacjNmBeKKbI74NR1y9UjUgOV,"Lamy-chan, congratulations on the first year anniversary since your debut!
Meeting you is one of the most fortunate things in my life.
Keep going! Also, don’t forget to take care of your health!
いつもありがとう！
ラミィちゃんがずっと大好きです！
これからもよろしくね！　
(／・ω・)／＝＝＝＝＝❤️❤️❤️❤️",,
7/10/2021 22:58:29,Cobalnite#9147,Cobalt,Peru,https://drive.google.com/open?id=1-mqwIg4q2zHhGpmF1f5n1sXgJsh6VDEL,"Congratulations on your first year Lamy, your streams are always fun and relaxing. Thank you for your hard work, I wish the best for you",,
7/10/2021 23:53:04,KaguyaDex#4823,KaguyaDex,Singapore,https://drive.google.com/open?id=1e7Tbh9hZQChefBu4kkCIkvVddXKUzq-f,ラミィちゃん1周年おめでとうううううううう！デビューから忠実の雪民です！これからもずっと応援します！,,
7/10/2021 23:54:20,Vanilla Thunder#1011,Vanilla Thunder,United States of America,https://drive.google.com/open?id=1GN2bJxREPt44tY3ieYBSji9-_Tb-HkDd,ラミィちゃん、デビュー1周年おめでとう！いつも楽しくモンハンと晩酌配信を見ています！ラミィちゃんを楽しんでいる姿を見て、自分も楽しくなりました！楽しい時間をいっぱいくれてありがとう！これからもずっと応援しています！,,
7/10/2021 23:57:32,tacticaldragon57#5472,Tacticaldragon57,Malaysia,https://drive.google.com/open?id=14c6QYOgsDTddq3BmW-HrONIjJTQCr1Qj,Congrats on your 1st anniversary Lamy-chan! Your voice is so soothing andyour gaming streams are fun to watch too and I always love your singing too! I'll support you forever! ,,
7/11/2021 0:58:29,@TrollLogicWorks,TrollLogic,Philippines,,"Happy 1st anniversary Lamy! Wow time flies so fast, I still remember the first time I watched your early morning streams.You were a bit timid back then and now you've shown a lot of confidence during your streams, I won't forget what you did for me last year as you saved me from depression. Bless you and thank you for existing!",,
7/11/2021 3:02:22,PhantomZamber#8159,Phantom Zamber,United-Kingdom,https://drive.google.com/open?id=1hlHU7_9oAv-CRYhCM7IAo1Mng7x1sMwy,Lamy! Happy 1 year anniversary! Thank you for your hardwork.,,
6/30/2021 14:09:00,@yukituki_illust,雪月,Prefer not to say / 答えたくない,https://drive.google.com/file/d/1KpBVy4Uj3hW594QBWDgs5NiSeaJ3RMwI/view?usp=sharing,,https://drive.google.com/drive/folders/1Yf-8q7a_cyKEjjL2mAb3Q_BEv3L92CcL?usp=sharing,
7/10/2021 23:57:32,wAA_#3654,wAA_,Germany,,Congratulations on your 1 year anniversary Lamy! That 1 year went by in a flash. You have changed much in that year. I'm so proud of what you have accomplished so far. Watching your streams is always a bliss and it always makes my day whenever I'm feeling down. Let's have more fun in the future!,,
