Timestamp,Discord Name (Example#9999) / Twitter Name (@Example1234),Nickname (Leave blank to remain anonymous),Where do you live / 居住地. ,Display Icon/Picture (.png),Fan Message (Maximum 300 characters),(Optional) Illustration Submission - .png or .psd files preferred,**Fill only if you submitted a commissioned work** Artist Name/TwitterID - Leave blank if you submitted your own work
6/29/2021 21:49:54,みんと（みんと#1943）/ みんと（@310__chocolate）,みんと,Japan,https://drive.google.com/open?id=1-PtUPWc6etEQXCwtjDKlFqY9RD0Ce4ZF,ラミィちゃん！デビュー1周年おめでとう！いつも配信楽しい配信をありがとう。これからも、健康に気をつけながら推して行こうと思います。,,
6/30/2021 8:17:15,samlonfish#3242,Natsuyasumi Summerfish,Canada,,"Hello Lamy-Chan, It has been a year since I've met you. I think you're an amazing person. I'm really really glad to be a yukimin. Thank you for the past year, lets do our best this year as well",,
6/30/2021 15:37:23,ねこた#5712/@Nekoo_berg,ねこた,Japan,https://drive.google.com/open?id=1PQJHv7Czis-8l10TCy5bERvSNaOWYzGo,"デビュー1周年おめでとう！🎉
いつも可愛くて、いつも雪民さんのことを想ってくれていたりホロリスであるラミィちゃんが大好きです！
これからも楽しい時間が過ごせたらなと思います！
2年目もよろしくね！大好きだよ！(*´꒳`)",,
6/30/2021 16:10:09,@YuPi_1215,YuPi,Taiwan,https://drive.google.com/open?id=1BfXU6aDzgeKu_LUiSJs0SLdqmjKkUt8h,"Congratulations for your first anniversary!
I want to thank you for healing me at my worst time.
Thank you for all your hard work , but take care of yourself!
Even if I'm overseas yukimins , I'll always support you forever!
Let's make more wonderful memories together.
I love love love you Lamy!!",,
6/30/2021 23:02:36,JoTerry Kujo#7926,NamingSystem,United States of America,https://drive.google.com/open?id=1Mmwjy5ta4LSVYNis8p0dHviP8ZXdHt2e,Happy Anniversary! Already a year? Time flies… But I’m glad I spent all the time I can to watch you! Thank you for everything! I’ll continue to support you as always! May we continue to have more amazing moments together! I love you!,,
7/1/2021 0:26:35,琉 Vtuber好き垢＃0166,こはく,Japan,https://drive.google.com/open?id=1XVebI9qWYWPO-x8rZ8IlTQ0-syMraETB,いつも癒しと笑顔をありがとう！大好きだよラミィちゃん,,
7/3/2021 16:18:54,@SanzeGorouART,三世吾郎,Taiwan,https://drive.google.com/open?id=1bACgkF4J2mUVg9AlrCKFrch4bpAQdvqh,恭喜出道一周年!!,https://drive.google.com/open?id=1eLncvvTYhpcKEYJ3eMcg0apy0QBTyBb4,
7/4/2021 1:30:27,곽도균#9839 / @L_Kiyohime,Linoforce,South Korea,,"ラミィちゃん~ 1周年おめでとうございます！
雪民になってから面白い配信や寝る前にいつも聴いてるASMRのおかげで毎日が幸せでいっぱいです。
これからも面白くって可愛いラミィちゃんを応援します。
ラミィちゃん大好き～～～！！！！！！！！",,
7/5/2021 8:06:32,painkotsu (salamyy)#5546,Cute Salamyy,Finland,,"Lamy-chan, congratulations on your 1st year anniversary! I may not have been there since the beginning but the last 8months have been amazing because of you. Keep it up Lamy (´꒳`)♡",,
7/6/2021 6:48:49,@MauCaVel,X-Kill/Mau,Mexico,https://drive.google.com/open?id=176n9Jf_O2OXqinSovDZLWI_eELeujGXo,"Lamy-chan, ever since meeting you, life has been changing for the better.
A lot of things have happened in this year.
Yet the one thing what won't change since the very first day:

I'm both in love and proud of the idol you've become. You've bloomed beautifully.
Yukimin forever!❄️☃️💙
I love you!❤️",,
